Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)
1	BKT Controller(1)	AS 1_7_plus_3_7	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS JCommTable6.R1C0	1	Single-KC	1	JCommTable6.R1C0	1
2	BKT Controller(1)	AS 1_7_plus_3_7	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS JCommTable6.R0C0	1	Single-KC	2	JCommTable6.R0C0	1
3	BKT Controller(1)	AS 1_7_plus_3_7	1	11	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	1	Single-KC	3	done	1
4	BKT Controller(1)	M 1_8_times_3_4	1	7	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	M  JCommTable6.R1C0	1	Single-KC	4	JCommTable6.R1C0	2
5	BKT Controller(1)	M 1_8_times_3_4	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	M  done	1	Single-KC	5	done	2
6	BKT Controller(1)	M 1_8_times_3_4	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	M  JCommTable6.R1C0	2	Single-KC	6	JCommTable6.R1C0	3
7	BKT Controller(1)	M 1_8_times_3_4	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	M  done	2	Single-KC	7	done	3
8	BKT Controller(1)	AS 7_9_plus_4_9	1	7	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AS JCommTable6.R0C0	2	Single-KC	8	JCommTable6.R0C0	2
9	BKT Controller(1)	AS 7_9_plus_4_9	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	AS JCommTable6.R1C0	2	Single-KC	9	JCommTable6.R1C0	4
10	BKT Controller(1)	AS 7_9_plus_4_9	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	AS JCommTable6.R0C0	3	Single-KC	10	JCommTable6.R0C0	3
